date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:42	34446/34446	---M-Z	200	added ('OK')	text/html	etag:W/%2261b97ebb-868e%22	https://technext.github.io/elearning/index.html	/home/kumartej/websites/edu2/technext.github.io/elearning/index.html	(from )
19:05:43	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/robots.txt		(from )
19:05:43	10492/10492	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2261b97ebb-28fc%22	https://technext.github.io/elearning/img/favicon.ico	/home/kumartej/websites/edu2/technext.github.io/elearning/img/favicon.ico	(from https://technext.github.io/elearning/index.html)
19:05:45	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Sep%202022%2013:35:45%20GMT	https://fonts.gstatic.com/	/home/kumartej/websites/edu2/fonts.gstatic.com/index.html	(from https://technext.github.io/elearning/index.html)
19:05:46	1281/1281	---MC-	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202022%2013:35:45%20GMT	https://fonts.googleapis.com/css2?family=Heebo:wght@400;500;600&family=Nunito:wght@600;700;800&display=swap	/home/kumartej/websites/edu2/fonts.googleapis.com/css2107b.css	(from https://technext.github.io/elearning/index.html)
19:05:46	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Sep%202022%2013:35:45%20GMT	https://fonts.googleapis.com/	/home/kumartej/websites/edu2/fonts.googleapis.com/index.html	(from https://technext.github.io/elearning/index.html)
19:05:47	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	/home/kumartej/websites/edu2/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://technext.github.io/elearning/index.html)
19:05:48	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	/home/kumartej/websites/edu2/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://technext.github.io/elearning/index.html)
19:05:49	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%2261b97ebb-4239%22	https://technext.github.io/elearning/lib/animate/animate.min.css	/home/kumartej/websites/edu2/technext.github.io/elearning/lib/animate/animate.min.css	(from https://technext.github.io/elearning/index.html)
19:05:50	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2261b97ebb-b78%22	https://technext.github.io/elearning/lib/owlcarousel/assets/owl.carousel.min.css	/home/kumartej/websites/edu2/technext.github.io/elearning/lib/owlcarousel/assets/owl.carousel.min.css	(from https://technext.github.io/elearning/index.html)
